feature,mean_abs_shap
month_cos,4.815054323454153
day_of_year,3.2526829033356695
temperature_2m_roll_mean_24h,1.8917828401349823
pm2_5,0.9269938964509216
wind_speed_10m_roll_mean_24h,0.86646949583842
day_of_month,0.8559685847920417
pm2_5_roll_mean_12h,0.8375885485083227
surface_pressure,0.6612835358352566
precipitation_roll_sum_24h,0.5841665987206709
sulphur_dioxide_lag_24h,0.5258088127050728
pm2_5_roll_mean_24h,0.40728323746311584
pm10_roll_mean_24h,0.357330480118077
pm10_roll_mean_12h,0.30846604755168966
aqi_roll_std_24h,0.3035800671626192
sulphur_dioxide,0.2978029088518094
pm10_lag_24h,0.2878881037715601
surface_pressure_lag_24h,0.2718485937313831
surface_pressure_lag_6h,0.24712935786756257
aqi_roll_max_24h,0.2449592979927569
day_of_week,0.22402697342476047
surface_pressure_lag_3h,0.2205817487286018
aqi_roll_min_24h,0.17440220686182106
us_aqi_lag_72h,0.15172401423621204
relative_humidity_2m_roll_mean_24h,0.13755101299777667
us_aqi_lag_168h,0.12902819911462718
surface_pressure_lag_1h,0.12744045809876717
surface_pressure_lag_12h,0.10030969806502035
wind_gusts_10m,0.09754104037111826
pm2_5_lag_12h,0.09643486159800126
pm10,0.09113702513162593
aqi_roll_mean_24h,0.08260793114548702
wind_dir_sin,0.07437014297285324
is_weekend,0.06254105666906509
sulphur_dioxide_lag_12h,0.060117921862424636
dow_sin,0.05321684934347228
us_aqi,0.05266480508066631
pm10_lag_12h,0.04439718154496588
us_aqi_lag_48h,0.04340700133171485
us_aqi_lag_24h,0.03676380828593367
aqi_roll_std_12h,0.03391020283973492
pm2_5_roll_mean_6h,0.027104657528170952
nitrogen_dioxide_lag_1h,0.01922744144564156
aqi_change_6h,0.018232879366805246
month,0.018133539945524264
aqi_roll_std_6h,0.01673786216976001
dow_cos,0.013624038103482223
pm2_5_lag_1h,0.011538676673677946
month_sin,0.010687264902076611
aqi_roll_mean_3h,0.009058308270719682
nitrogen_dioxide_lag_3h,0.008814012386915773
wind_speed_10m,0.007381338602540199
aqi_roll_mean_12h,0.006792223243070583
us_aqi_lag_12h,0.006200460262484182
pm10_lag_3h,0.006078118149822892
relative_humidity_2m_lag_24h,0.0060443757347183906
sulphur_dioxide_lag_6h,0.0031245056856579107
cloud_cover,0.003075566806686417
wind_speed_10m_roll_mean_6h,0.003003766698784237
ozone_lag_6h,0.002394096288021531
sulphur_dioxide_lag_3h,0.0023651794905717354
wind_speed_10m_lag_12h,0.0023085965373941795
nitrogen_dioxide_lag_6h,0.0016601303677270525
aqi_change_3h,0.001611201024666228
ozone_lag_24h,0.0016056830526948182
temperature_2m,0.0015773117513256418
ozone_lag_12h,0.0013547381871476406
ozone_lag_3h,0.0012636229222231829
carbon_monoxide,0.0012493095544091047
ozone_lag_1h,0.0011307231980635776
us_aqi_lag_1h,0.0008987732555521371
pm10_lag_1h,0.0005874704074095909
wind_speed_10m_lag_3h,0.0005598911946164503
relative_humidity_2m,0.0004618566327310603
temperature_2m_lag_24h,0.0004506526493958457
nitrogen_dioxide_lag_24h,0.0004505195476771421
relative_humidity_2m_roll_mean_6h,0.00039023879886881864
hour_cos,0.0003601465485717207
nitrogen_dioxide_lag_12h,0.00035642701270524466
carbon_monoxide_lag_1h,0.0002928323669795348
us_aqi_lag_3h,0.0002568727015815886
pm10_roll_mean_6h,0.00024467861626314486
relative_humidity_2m_lag_12h,0.00018356663635951716
pm2_5_lag_3h,0.00016265142401618554
pm2_5_lag_6h,0.00014906801382372445
precipitation_roll_sum_6h,0.00012611019418751996
temperature_2m_lag_6h,0.00010379275746803023
relative_humidity_2m_lag_1h,8.728671737686342e-05
aqi_change_1h,5.79335570295716e-05
wind_speed_10m_lag_1h,4.130533742291945e-05
temperature_2m_lag_1h,3.195449590046198e-05
hour,2.6297234311955898e-05
nitrogen_dioxide,2.4669136454531194e-05
temperature_2m_lag_3h,2.221605360309339e-05
wind_dir_cos,1.8182465217396222e-05
wind_speed_10m_lag_24h,2.6073379575898267e-06
relative_humidity_2m_lag_6h,0.0
wind_speed_10m_lag_6h,0.0
temperature_2m_lag_12h,0.0
temperature_2m_roll_mean_6h,0.0
carbon_monoxide_lag_12h,0.0
carbon_monoxide_lag_24h,0.0
sulphur_dioxide_lag_1h,0.0
relative_humidity_2m_lag_3h,0.0
pm10_lag_6h,0.0
carbon_monoxide_lag_6h,0.0
carbon_monoxide_lag_3h,0.0
pm2_5_lag_24h,0.0
aqi_pct_change_1h,0.0
aqi_roll_mean_6h,0.0
us_aqi_lag_6h,0.0
us_aqi_lag_2h,0.0
hour_sin,0.0
rain,0.0
precipitation,0.0
ozone,0.0
