feature,mean_abs_shap
month_cos,3.336943396468221
pm2_5,3.2762950166584606
day_of_year,2.2041377603870913
pm2_5_roll_mean_12h,1.6320595739710633
pm2_5_roll_mean_6h,1.2173590104928698
day_of_month,0.6434076538612312
sulphur_dioxide_lag_12h,0.6231325008128322
pm10_lag_24h,0.5925848928302018
pm2_5_roll_mean_24h,0.5865360970492047
pm10_roll_mean_24h,0.513247444056971
aqi_change_3h,0.4541887881288431
pm10,0.3917347944764229
temperature_2m_roll_mean_24h,0.37470474384886
relative_humidity_2m_roll_mean_6h,0.34582110306959646
dow_sin,0.3202816370952498
aqi_roll_max_24h,0.2950839748845361
wind_dir_sin,0.2856613420006679
relative_humidity_2m_roll_mean_24h,0.27956641451668857
relative_humidity_2m_lag_1h,0.24616891382234588
aqi_change_6h,0.2403449602740165
surface_pressure,0.2315723922497995
sulphur_dioxide,0.22842536208104364
surface_pressure_lag_12h,0.2197612450593041
surface_pressure_lag_24h,0.21954534147010885
relative_humidity_2m,0.20530023933688205
surface_pressure_lag_6h,0.16618195383454565
nitrogen_dioxide_lag_1h,0.162153722594959
wind_speed_10m_roll_mean_24h,0.15773254948593335
precipitation_roll_sum_24h,0.15508251738331225
wind_speed_10m,0.13737112576803068
sulphur_dioxide_lag_6h,0.13280969676411677
aqi_roll_mean_24h,0.12935065682522626
surface_pressure_lag_1h,0.09331355913554815
us_aqi_lag_48h,0.0800670075778175
surface_pressure_lag_3h,0.07418859602349362
aqi_roll_min_24h,0.07146950596011382
cloud_cover,0.07086782770016728
ozone,0.06723533925707725
us_aqi_lag_24h,0.06705971548074673
month_sin,0.06168331985872493
wind_dir_cos,0.05962327432106507
wind_speed_10m_lag_1h,0.058395558237916464
dow_cos,0.05692839241946031
us_aqi_lag_168h,0.055053890355350694
us_aqi_lag_72h,0.05064314786955218
aqi_roll_mean_12h,0.04423010396631427
nitrogen_dioxide_lag_12h,0.042551780916918046
nitrogen_dioxide_lag_3h,0.04240773716767405
wind_speed_10m_lag_3h,0.04108999505222305
pm10_lag_12h,0.04099923280523161
aqi_roll_std_24h,0.03942277399685232
aqi_pct_change_1h,0.033739852579600944
sulphur_dioxide_lag_24h,0.03097315483040023
nitrogen_dioxide_lag_6h,0.030062518489459577
aqi_roll_std_12h,0.027131456018764398
wind_speed_10m_roll_mean_6h,0.027065869590755902
carbon_monoxide_lag_12h,0.02574290948553356
pm10_roll_mean_12h,0.01986973909342484
wind_speed_10m_lag_24h,0.018760646583772047
ozone_lag_3h,0.013739351041288322
wind_gusts_10m,0.013436024870671623
ozone_lag_1h,0.011421131241029937
wind_speed_10m_lag_12h,0.011108067805186991
us_aqi,0.009412391053189282
pm10_roll_mean_6h,0.007938680496886166
relative_humidity_2m_lag_12h,0.007758640011033147
pm2_5_lag_3h,0.0076435440351102675
temperature_2m_lag_1h,0.0074023410961600354
day_of_week,0.006847406242537014
us_aqi_lag_3h,0.005472840931941806
us_aqi_lag_12h,0.005289447553314138
ozone_lag_24h,0.003969788089814387
us_aqi_lag_6h,0.0039476260757764
pm10_lag_1h,0.003691425450457664
temperature_2m_lag_12h,0.003361109526800444
relative_humidity_2m_lag_24h,0.0029337773537835656
aqi_roll_mean_3h,0.0025335973208143463
ozone_lag_12h,0.0021437112446640273
ozone_lag_6h,0.0017313899759275266
us_aqi_lag_2h,0.0015437539328443113
aqi_roll_mean_6h,0.0015218557811255788
temperature_2m,0.0012266641097661171
pm2_5_lag_1h,0.000987046732927913
pm2_5_lag_6h,0.0009670788859643156
relative_humidity_2m_lag_6h,0.0008262349350685951
carbon_monoxide_lag_1h,0.0005519236651935227
temperature_2m_lag_24h,0.0005369295157367374
sulphur_dioxide_lag_3h,0.0002882317321297937
pm10_lag_3h,0.0002588765711500278
temperature_2m_roll_mean_6h,0.00021373265432409944
pm2_5_lag_24h,0.0002031056583706114
precipitation,0.0001589386025364719
relative_humidity_2m_lag_3h,0.00010623643069196238
temperature_2m_lag_6h,2.4608399080480223e-05
carbon_monoxide_lag_6h,2.4518639554072802e-05
nitrogen_dioxide_lag_24h,1.0971337104439988e-05
wind_speed_10m_lag_6h,8.455058699436804e-06
temperature_2m_lag_3h,0.0
precipitation_roll_sum_6h,0.0
carbon_monoxide_lag_24h,0.0
sulphur_dioxide_lag_1h,0.0
aqi_roll_std_6h,0.0
pm2_5_lag_12h,0.0
carbon_monoxide_lag_3h,0.0
us_aqi_lag_1h,0.0
pm10_lag_6h,0.0
aqi_change_1h,0.0
month,0.0
hour_cos,0.0
hour_sin,0.0
is_weekend,0.0
rain,0.0
hour,0.0
carbon_monoxide,0.0
nitrogen_dioxide,0.0
